model,partition,adulterant,level_pct,identification_acc,pred_mean,abs_err
PLS,44,sunflower,60,1.0,59.921901250000005,1.2261724999999997
PLS,44,sunflower,64,1.0,62.052183125,2.5274543750000005
PLS,44,sunflower,68,1.0,66.07752875,2.1029537500000006
PLS,44,sunflower,72,1.0,69.90488125,2.7593774999999994
PLS,44,sunflower,76,1.0,75.63938375000001,1.3109149999999987
PLS,44,sunflower,80,1.0,80.66974214285715,1.350790714285713
PLS,44,sunflower,84,1.0,81.82537562499999,2.833461875000002
PLS,44,sunflower,88,1.0,89.81488562499999,3.757725624999999
PLS,44,sunflower,92,1.0,92.1846775,1.2914450000000013
PLS,44,sunflower,96,1.0,98.836529375,2.9759318750000006
PLS,44,sunflower,100,1.0,99.57450529411764,0.42549470588235333
SVM,42,peanut,4,0.9375,9.527320625000002,5.5273206250000015
SVM,42,peanut,8,1.0,15.668498750000001,7.668498750000001
SVM,42,peanut,12,1.0,18.851679375000003,6.851679375000001
SVM,42,peanut,16,1.0,21.453360625,5.453360625
SVM,42,peanut,20,1.0,23.068937499999997,3.0689374999999997
SVM,42,peanut,24,1.0,23.52330625,2.0285224999999985
SVM,42,peanut,28,1.0,26.5140075,1.7152749999999983
SVM,42,peanut,32,1.0,30.198471875000003,2.7893356249999988
SVM,42,peanut,36,1.0,31.35901875,4.64098125
SVM,42,peanut,40,1.0,37.446,2.7792875
SVM,42,peanut,44,1.0,42.550093125000004,1.9258143750000007
SVM,42,peanut,48,1.0,48.132783125,1.261606875000001
SVM,42,peanut,52,1.0,49.06321,3.5114775000000003
SVM,42,peanut,56,1.0,51.873579375000006,4.126420625
SVM,42,peanut,60,1.0,58.1396025,2.3970487499999997
SVM,42,peanut,64,1.0,64.43562117647059,1.821094117647057
SVM,42,peanut,68,1.0,66.41598875,1.6566912500000002
SVM,42,peanut,72,1.0,69.14247375,3.5695650000000008
SVM,42,peanut,76,1.0,76.80484249999999,1.897195
SVM,42,peanut,80,1.0,76.71821625,4.1990799999999995
SVM,42,peanut,84,1.0,76.925079375,7.074920625000002
SVM,42,peanut,88,1.0,86.52782812499998,2.752345625000001
SVM,42,peanut,92,1.0,92.577048125,2.062885624999999
SVM,42,peanut,96,1.0,87.13521250000001,8.864787499999998
SVM,42,peanut,100,1.0,89.00420374999999,10.995796249999998
SVM,42,sunflower,4,1.0,5.641349374999999,2.150246874999999
SVM,42,sunflower,8,0.9375,10.918219375,2.9578156250000003
SVM,42,sunflower,12,0.4,25.156069999999996,13.15607
SVM,42,sunflower,16,1.0,19.18031375,3.551149999999999
SVM,42,sunflower,20,1.0,26.997648749999996,6.997648749999998
SVM,42,sunflower,24,1.0,21.774981875,2.625735625000001
SVM,42,sunflower,28,1.0,27.942399375,1.8691656249999973
SVM,42,sunflower,32,1.0,29.5409675,2.8202387500000023
SVM,42,sunflower,36,1.0,31.475908750000002,4.52409125
SVM,42,sunflower,40,1.0,37.31365588235294,2.8883335294117645
SVM,42,sunflower,44,1.0,44.081598125,1.506904375
SVM,42,sunflower,48,1.0,49.05852125,1.8869199999999995
SVM,42,sunflower,52,1.0,47.216763125,4.824590624999999
SVM,42,sunflower,56,1.0,53.417393125,2.824288125
SVM,42,sunflower,60,1.0,60.482544375,1.7060868749999996
SVM,42,sunflower,64,1.0,63.003698125,2.4830806249999995
SVM,42,sunflower,68,1.0,64.10626375,4.212611250000002
SVM,42,sunflower,72,1.0,70.927274375,2.491151875
SVM,42,sunflower,76,1.0,76.477410625,2.3416081249999996
SVM,42,sunflower,80,1.0,81.68211642857143,3.621013571428572
SVM,42,sunflower,84,1.0,72.771004375,11.228995625000001
SVM,42,sunflower,88,1.0,83.28418875,5.510706249999998
SVM,42,sunflower,92,1.0,87.229375,4.79682375
SVM,42,sunflower,96,1.0,92.624554375,3.5352856249999993
SVM,42,sunflower,100,1.0,91.70673058823529,8.293269411764705
SVM,43,peanut,4,1.0,13.285231875,9.285231875
SVM,43,peanut,8,1.0,15.58220875,7.5822087499999995
SVM,43,peanut,12,1.0,19.5728025,7.572802500000001
SVM,43,peanut,16,0.9375,23.055976875,7.055976875
SVM,43,peanut,20,1.0,23.380711875,3.3807118750000003
SVM,43,peanut,24,1.0,23.370469999999997,2.0420500000000006
SVM,43,peanut,28,1.0,25.97101125,2.158231249999999
SVM,43,peanut,32,1.0,32.89044875,2.3675212500000007
SVM,43,peanut,36,1.0,32.465426875,3.546915624999999
SVM,43,peanut,40,1.0,39.24942125,2.1051425
SVM,43,peanut,44,1.0,42.097038125,2.2943881250000002
SVM,43,peanut,48,1.0,45.65479625,2.91773125
SVM,43,peanut,52,1.0,48.369720625,4.024191875
SVM,43,peanut,56,1.0,54.725790625,1.6747681250000004
SVM,43,peanut,60,1.0,57.897876874999994,2.2680043750000003
SVM,43,peanut,64,1.0,61.38773117647059,2.8387570588235294
SVM,43,peanut,68,1.0,67.826308125,1.811370625
SVM,43,peanut,72,1.0,71.006873125,3.6446256249999998
SVM,43,peanut,76,1.0,77.012211875,2.2893968750000004
SVM,43,peanut,80,1.0,78.997190625,2.9042868749999995
SVM,43,peanut,84,1.0,75.74443000000001,8.255569999999999
SVM,43,peanut,88,1.0,87.366523125,2.8749281249999985
