arm,model,adulterant,level_pct,lot,n_spectra,identification_acc,detection_rate,pred_adulterant_mean,pred_adulterant_sd,abs_error_mean
F,RF,peanut,44,T1,16,1.0,1.0,62.425963125,8.692461789549606,19.333370625
F,RF,peanut,48,T2,16,1.0,1.0,48.42006958333334,1.9978478225122294,1.474514583333335
F,RF,peanut,52,T3,16,0.875,0.6875,33.095864375,23.120880896317964,20.095345625
F,RF,peanut,56,T4,16,1.0,1.0,62.59983354166666,4.581657018510753,6.612055624999999
F,RF,peanut,60,T5,16,1.0,1.0,58.287389583333336,9.702769149784748,7.184899583333333
F,RF,peanut,64,T1,17,1.0,1.0,69.16276549019608,1.6467308447108588,5.162765490196078
F,RF,peanut,68,T2,16,1.0,1.0,67.644923125,3.0380187646804173,2.1635310416666664
F,RF,peanut,72,T3,16,1.0,1.0,65.08110166666667,11.900276958951652,8.205567916666666
F,RF,peanut,76,T4,16,1.0,1.0,78.55568583333333,2.436706498896654,2.8574583333333337
F,RF,peanut,80,T5,16,1.0,1.0,76.88319645833334,5.0867998554091285,5.446343125
F,RF,peanut,84,T1,16,1.0,1.0,79.78481375000001,5.85131184503465,5.587587083333334
F,RF,peanut,88,T2,16,1.0,1.0,88.35498125,3.226466486572367,1.987320416666667
F,RF,peanut,92,T3,16,1.0,1.0,89.03776729166667,4.05708366892703,4.215066458333335
F,RF,peanut,96,T4,16,1.0,1.0,91.92479291666666,3.1006809261589194,4.075207083333335
F,RF,peanut,100,T5,16,1.0,1.0,89.48713458333333,1.5716697824443608,10.512865416666667
F,RF,sunflower,4,T1,16,0.1875,1.0,17.628527083333335,4.342465387590051,13.628527083333335
F,RF,sunflower,8,T2,16,0.8125,0.625,12.751038750000001,7.876154872894737,7.62699875
F,RF,sunflower,12,T3,15,0.3333333333333333,0.4666666666666667,9.762947333333326,4.486834985147811,4.528698000000004
F,RF,sunflower,16,T4,16,0.0,1.0,15.593067708333333,2.2184483059451017,1.8938252083333333
F,RF,sunflower,20,T5,16,1.0,1.0,31.760368125,12.552060517419203,15.303103958333335
F,RF,sunflower,24,T1,16,0.75,1.0,13.723088750000002,4.049724526264101,10.276911249999998
F,RF,sunflower,28,T2,16,1.0,1.0,37.931243124999995,5.978546106858904,10.477598541666667
F,RF,sunflower,32,T3,16,1.0,1.0,33.71802125000001,5.2446660940442715,3.721104166666667
F,RF,sunflower,36,T4,16,1.0,1.0,27.036713541666664,4.667085710210025,8.963286458333336
F,RF,sunflower,40,T5,17,1.0,1.0,51.92009568627451,5.2820695963884585,11.945258823529413
F,RF,sunflower,44,T1,16,1.0,1.0,36.01195979166667,12.385935751351534,12.743976875
F,RF,sunflower,48,T2,16,1.0,1.0,53.02620270833333,4.775334495123132,5.209818541666667
F,RF,sunflower,52,T3,16,1.0,1.0,49.93580791666666,5.5382533017690125,3.916462083333333
F,RF,sunflower,56,T4,16,1.0,1.0,50.933889166666674,2.8649529544904735,5.066110833333333
F,RF,sunflower,60,T5,16,1.0,1.0,62.399585625,1.619355719244069,2.3995856250000003
F,RF,sunflower,64,T1,16,1.0,1.0,63.351883125,23.292135257668747,20.40688395833333
F,RF,sunflower,68,T2,16,1.0,1.0,67.21078625000001,4.014078526917732,3.3463012499999993
F,RF,sunflower,72,T3,16,1.0,1.0,67.18448895833333,3.6777538736482085,5.145447291666667
F,RF,sunflower,76,T4,16,1.0,1.0,70.50890854166667,7.57183716965352,7.285137708333334
F,RF,sunflower,80,T5,14,1.0,1.0,78.71022642857145,3.436880663331254,2.982819761904762
F,RF,sunflower,84,T1,16,1.0,1.0,61.19283583333333,23.84218670620227,23.495775000000002
F,RF,sunflower,88,T2,16,1.0,1.0,78.16268104166667,9.597926062285094,9.837318958333334
F,RF,sunflower,92,T3,16,1.0,1.0,85.86252875,1.521950947991802,6.137471250000002
F,RF,sunflower,96,T4,16,1.0,1.0,82.75227583333333,10.265531796831821,13.508471666666665
F,RF,sunflower,100,T5,17,1.0,1.0,92.93723039215688,2.8296589417493503,7.062769607843139
F,SVM,peanut,4,T1,16,0.75,1.0,25.756148125,4.269180699046312,21.756148125
F,SVM,peanut,8,T2,16,0.0,1.0,17.8376175,2.9155844780798246,9.8376175
F,SVM,peanut,12,T3,16,1.0,1.0,16.335099375,3.2253177996500715,4.580576874999999
F,SVM,peanut,16,T4,16,1.0,1.0,29.05848625,3.5062686858442085,13.058486250000001
F,SVM,peanut,20,T5,16,0.9375,1.0,25.721807499999997,1.7971419235497248,5.7218075
F,SVM,peanut,24,T1,16,1.0,1.0,31.883215625,2.202281176858725,7.883215624999998
F,SVM,peanut,28,T2,16,1.0,1.0,28.81832875,2.1308537310473317,1.8889087499999997
F,SVM,peanut,32,T3,16,1.0,1.0,29.652493749999998,2.409995249206588,2.8457274999999997
F,SVM,peanut,36,T4,16,1.0,1.0,32.808910625,1.9705975703103153,3.1910893750000007
F,SVM,peanut,40,T5,16,1.0,1.0,41.40170875,1.550290347626856,1.6459599999999992
F,SVM,peanut,44,T1,16,1.0,1.0,43.42283375,1.7901469878713865,1.4788437499999998
F,SVM,peanut,48,T2,16,1.0,1.0,44.68697125,2.3694889487422524,3.3550112499999996
F,SVM,peanut,52,T3,16,1.0,1.0,48.496345625000004,4.57401302830526,4.0276668749999995
F,SVM,peanut,56,T4,16,1.0,1.0,48.884333125,2.2902401649163893,7.1156668750000005
F,SVM,peanut,60,T5,16,1.0,1.0,59.520439374999995,2.4537698890740063,1.9910943750000012
F,SVM,peanut,64,T1,17,1.0,1.0,56.08417705882352,3.154936725832954,7.915822941176471
F,SVM,peanut,68,T2,16,1.0,1.0,65.543449375,2.892930256909001,3.1290581249999994
F,SVM,peanut,72,T3,16,1.0,1.0,70.63946250000001,6.060965286515012,4.241152499999999
F,SVM,peanut,76,T4,16,1.0,1.0,66.7184475,2.9403768479215944,9.281552499999998
F,SVM,peanut,80,T5,16,1.0,1.0,79.12850750000001,3.554161855912025,2.72668875
F,SVM,peanut,84,T1,16,1.0,1.0,71.453488125,3.829365923532195,12.546511875
F,SVM,peanut,88,T2,16,1.0,1.0,86.826173125,3.715216251491011,3.2403218750000002
F,SVM,peanut,92,T3,16,1.0,1.0,93.70987062500001,2.8124434265420484,3.047565624999998
F,SVM,peanut,96,T4,16,1.0,1.0,77.95168312499999,3.2786588131484873,18.048316875
F,SVM,peanut,100,T5,16,1.0,1.0,91.38992125000001,3.8632064194377445,8.610078750000001
F,SVM,sunflower,4,T1,16,1.0,1.0,31.794271874999996,3.343027747874112,27.794271875
F,SVM,sunflower,8,T2,16,1.0,1.0,17.237960625,3.4434684097296806,9.237960625
F,SVM,sunflower,12,T3,15,0.6666666666666666,1.0,22.886204,7.994717650441625,10.886204
F,SVM,sunflower,16,T4,16,0.25,1.0,19.926789375,3.0598782802795035,4.031530625
F,SVM,sunflower,20,T5,16,1.0,1.0,30.965588750000002,1.719823537676178,10.965588750000002
F,SVM,sunflower,24,T1,16,1.0,1.0,39.25027874999999,1.9918366842753445,15.25027875
F,SVM,sunflower,28,T2,16,1.0,1.0,31.324584375,2.804798267058241,3.371389374999998
F,SVM,sunflower,32,T3,16,1.0,1.0,27.946705625,2.8743289898199866,4.474421875000001
F,SVM,sunflower,36,T4,16,1.0,1.0,31.1334575,2.5603108687097618,4.8665424999999995
F,SVM,sunflower,40,T5,17,1.0,1.0,45.523743529411774,1.8849900937038815,5.523743529411765
F,SVM,sunflower,44,T1,16,1.0,1.0,48.63484875,2.131055028908999,4.63484875
F,SVM,sunflower,48,T2,16,1.0,1.0,48.247635,2.185188003966707,1.7950862500000007
F,SVM,sunflower,52,T3,16,1.0,1.0,47.161736875,2.2328632334104674,4.870788125000001
F,SVM,sunflower,56,T4,16,1.0,1.0,46.935995625000004,1.7153560463918032,9.064004375000001
F,SVM,sunflower,60,T5,16,1.0,1.0,65.77538687500001,1.645791662204824,5.775386875000001
F,SVM,sunflower,64,T1,16,1.0,1.0,62.039955625000005,3.7667264409386365,3.3140243750000002
F,SVM,sunflower,68,T2,16,1.0,1.0,63.967198124999996,2.961228534382801,4.517634375
F,SVM,sunflower,72,T3,16,1.0,1.0,69.41625562499999,3.7924262944276506,3.2611106249999993
F,SVM,sunflower,76,T4,16,1.0,1.0,74.54073375,3.3635792606941304,2.8177225000000004
F,SVM,sunflower,80,T5,14,1.0,1.0,81.83738142857143,3.1468356424359847,2.6412014285714287
F,SVM,sunflower,84,T1,16,1.0,1.0,72.111960625,4.678001173221269,11.888039375000002
F,SVM,sunflower,88,T2,16,1.0,1.0,83.8216025,6.033584304568887,5.401235
F,SVM,sunflower,92,T3,16,1.0,1.0,92.54592249999999,3.375061405860149,2.656507500000002
F,SVM,sunflower,96,T4,16,1.0,1.0,90.6278975,4.585710197468511,5.48197125
F,SVM,sunflower,100,T5,17,1.0,1.0,91.89050705882353,3.7849362878600155,8.10949294117647
A,CNN,peanut,4,T1,16,0.5625,0.5,10.222085316975914,4.976549235879819,6.222085316975913
A,CNN,peanut,8,T2,16,0.5625,1.0,24.740944226582844,1.7818416194814026,16.740944226582844
A,CNN,peanut,12,T3,16,0.5625,0.625,11.156855742136639,5.083534807276149,4.588822523752847
A,CNN,peanut,16,T4,16,1.0,1.0,14.356549898783365,3.7848918137175813,3.595499674479166
A,CNN,peanut,20,T5,16,0.8125,1.0,26.57463709513346,3.396891597736042,6.607850392659505
A,CNN,peanut,24,T1,16,1.0,1.0,27.978515545527138,6.546398740275029,6.4199910958608
A,CNN,peanut,28,T2,16,1.0,1.0,33.82858355840047,2.742636112659087,5.828583558400473
